課程名稱,上課地點,開放報名,開課日期,性質
電腦打版設計應用訓練班第01期,嘉義市嘉義市國華街245號7樓9,2022/03/23,2022/04/23,在職
瑜珈教學人員應用實務班第01期,嘉義市嘉義市世賢路４段120號,2022/03/23,2022/05/07,在職
日語旅遊會話班第01期,嘉義市嘉義市蘭井街465號2樓,2022/03/21,2022/04/21,在職
茶葉感官專業人才中級訓練班第01期,嘉義市嘉義市民權路304號2樓,2022/03/19,2022/04/19,在職
荷重在一公噸以上之堆高機操作人員特殊安全衛生訓練班B班第02期,嘉義市嘉義市民權路278號6樓,2022/03/19,2022/04/19,在職
手作製鞋與皮革工藝班第01期,嘉義市嘉義市蘭井街465號2樓,2022/03/14,2022/04/14,在職
荷重在一公噸以上之堆高機操作人員特殊安全衛生訓練班A班第01期,嘉義市嘉義市民權路278號6樓,2022/02/22,2022/03/22,在職
時尚布藝商品創意設計班第08期,嘉義市嘉義市彌陀路255號C棟1樓,2022/02/22,2022/03/22,在職
木工傢俱畫作設計B班第10期,嘉義市嘉義市民權路304號2樓,2022/02/21,2022/03/21,在職
AutoCAD室內設計全攻略基礎班第01期,嘉義市嘉義市玉康路160號3樓306電腦教室,2022/02/21,2022/03/21,在職
舊屋整建施工流程管理班第01期,嘉義市嘉義市彌陀路255號1樓,2022/02/20,2022/03/20,在職
烹飪料理製作班第01期,嘉義市嘉義市彌陀路253號餐管樓F棟1樓,2022/02/20,2022/03/20,在職
綠美化園藝植栽造景訓練班第02期,嘉義市嘉義市彌陀路255號C棟1樓,2022/02/19,2022/03/19,在職
點心午茶手作班第01期,嘉義市嘉義市蘭井街465號9樓3,2022/02/18,2022/03/18,在職
甲種職業安全衛生業務主管訓練班第01期,嘉義市嘉義市中興路127號5樓(第三教室),2022/02/16,2022/03/16,在職
彩妝護膚按摩進階班第01期,嘉義市嘉義市國華街245號6樓,2022/02/16,2022/03/16,在職
生活傢飾烙畫設計訓練班第04期,嘉義市嘉義市彌陀路255號C棟1樓,2022/02/15,2022/03/15,在職
