課程名稱,上課地點,開放報名,開課日期,性質
網路經營推廣實務班第01期,新竹縣竹北市中正東路213號1樓,2021/11/04,2021/12/04,在職
飛機機體系統維修工程師基礎培訓班,新竹縣橫山鄉中華街200號,2021/11/01,2021/12/01,青年
Excel Power BI大數據分析應用實務班第01期,新竹縣竹北市中正東路213號1樓,2021/10/28,2021/11/28,在職
快樂學日語進階班第01期,新竹縣竹北市勝利五路195號,2021/10/27,2021/11/27,在職
多元潮流皮革寶石設計行銷創意班第01期,新竹縣竹北市中正西路247號3樓,2021/10/27,2021/11/27,在職
智慧型手機維修人員培訓班第01期,新竹縣竹北市十興路１段261號2樓,2021/10/27,2021/11/27,在職
黃金年代烘焙班第01期,新竹縣湖口鄉中山路３段530號,2021/10/27,2021/11/27,在職
精品咖啡製作訓練班第08期,新竹縣竹北市縣政八街77號1樓,2021/09/23,2021/11/27,在職
照顧服務員數位實習C班 第01期,新竹縣,2021/08/11,2021/09/02,職前
照顧服務員職前訓練B班 第02期,新竹縣,2021/07/29,2021/09/11,職前
俏麗睫毛美眉專業班 第01期,新竹縣,2021/07/29,2021/09/13,職前
中餐葷食技能實用班 第01期,新竹縣,2021/07/12,2021/08/30,職前
照顧服務員訓練班 第01期,新竹縣,2021/07/12,2021/10/20,職前
基礎電腦與文書處理實用班 第01期,新竹縣,2021/06/22,2021/08/18,職前
多元創意織品應用培訓班 第01期,新竹縣,2021/06/21,2021/08/05,職前
宅經濟複合式美食料理實務班(原住民專班-新竹縣) 第01期,新竹縣,2021/05/20,2021/07/13,職前
樂齡養身餐飲及陪伴家事服務班 第01期,新竹縣,2021/05/17,2021/09/13,職前
中餐廚藝技能班 第01期,新竹縣,2021/05/13,2021/09/16,職前
營建工程實務(新竹) 第01期,新竹縣,2021/05/12,2021/07/14,職前
坐月子居家服務員訓練班 第01期,新竹縣,2021/05/11,2021/09/27,職前
半導體封裝測試實務班,新竹縣新豐鄉新興路1號,2021/05/11,2022/07/18,青年
國際數位行銷企劃人才培訓班,新竹縣新豐鄉新興路1號,2021/05/11,2022/07/25,青年
智慧機電整合實務班,新竹縣新豐鄉新興路1號,2021/05/10,2022/07/11,青年
美容美甲挽臉舒壓班 第01期,新竹縣,2021/05/10,2021/09/24,職前
凝膠美甲彩繪美睫美容班 第01期,新竹縣,2021/05/10,2021/08/17,職前
智慧營建資訊建模技術培訓班,新竹縣新豐鄉新興路1號,2021/05/10,2022/07/18,青年
創意飾品服飾製作修改班 第01期,新竹縣,2021/05/07,2021/08/09,職前
超專業無人機空拍職人養成班,新竹縣橫山鄉中華街200號,2021/05/01,2021/06/17,青年
五峰特色農產品製作暨網路行銷班 第01期,新竹縣,2021/04/21,2021/10/27,職前
藝術美甲暨時尚美睫培訓班 第01期,新竹縣,2021/04/15,2021/06/24,職前
智慧農業與友善耕作班,新竹縣竹東鎮軟橋里4鄰21-2號,2021/03/19,2021/09/30,青年
智慧冷鏈技術應用人才養成班,新竹縣竹東鎮中興路4段195號21館,2021/03/16,2021/06/21,青年
托育人員專業訓練課程2班(職前平日班) 第02期,新竹縣,2021/03/10,2021/10/19,職前
托育人員專業訓練課程1班(職前平日班) 第01期,新竹縣,2021/03/10,2021/07/20,職前
托育人員專業訓練課程A班(在職假日班) 第01期,新竹縣,2021/03/10,2021/07/10,職前
照顧服務員訓練A班(新竹縣) 第01期,新竹縣,2021/03/03,2021/08/02,職前
照顧服務員職前訓練專班 第01期,新竹縣,2021/03/02,2021/09/26,職前
110年度照顧服務員職業職前訓練班 第01期,新竹縣,2021/03/01,2021/08/18,職前
商業設計暨網路行銷班 第01期,新竹縣,2021/01/01,2021/09/06,職前
行政人員資訊應用班 第01期,新竹縣,2021/01/01,2021/08/30,職前
國際(數位)行銷企劃暨空拍機實務(3+2)人才培訓班,新竹縣湖口鄉中山路三段530號,2020/11/02,2021/06/30,青年
美容紓壓暨美睫稼接實務班 第01期,新竹縣,2020/08/26,2020/10/08,職前
照顧服務員職前專班 第01期,新竹縣,2020/07/13,2020/09/01,職前
托育人員職業訓練班第一期(在職假日班) 第01期,新竹縣,2020/06/23,2020/09/05,職前
科技產業品質工程人員職能培訓班,新竹縣竹東鎮中興路4段195號,2020/06/01,2020/08/12,青年
美容美甲專業人員培訓班 第01期,新竹縣,2020/05/28,2020/07/29,職前
2020照顧服務員職業訓練班B班 第02期,新竹縣,2020/05/21,2020/07/13,職前
照顧服務員訓練班第一期(在職假日班) 第01期,新竹縣,2020/05/04,2020/08/01,職前
照顧服務員 第01期,新竹縣,2020/05/01,2020/07/04,職前
農產釀漬及中式麵食加工實務班 第01期,新竹縣,2020/04/14,2020/09/07,職前
托育人員專業訓練課程2班(職前平日班) 第01期,新竹縣,2020/04/01,2020/10/13,職前
托育人員專業訓練課程1班(職前平日班) 第01期,新竹縣,2020/04/01,2020/07/21,職前
樂齡養身餐飲及陪伴家事服務班 第01期,新竹縣,2020/03/25,2020/09/07,職前
坐月子居家服務員訓練班 第01期,新竹縣,2020/03/25,2020/07/06,職前
創意飾品服飾製作修改班 第01期,新竹縣,2020/03/25,2020/06/01,職前
美容美甲專業人員班 第01期,新竹縣,2020/03/24,2020/09/07,職前
時尚眉型美睫專業實務班 第01期,新竹縣,2020/03/24,2020/06/15,職前
時尚美甲美容舒壓班 第01期,新竹縣,2020/03/24,2020/06/08,職前
樹皮繪彩珠文創設計培訓班 第01期,新竹縣,2020/03/23,2020/05/06,職前
原鄉傳統編織及織布米珠飾品設計訓練班 第01期,新竹縣,2020/03/19,2020/04/06,職前
托育人員專業訓練課程A班(在職假日班) 第01期,新竹縣,2020/03/04,2020/07/11,職前
照顧服務員訓練班 第01期,新竹縣,2020/03/03,2020/05/11,職前
照顧服務員職前訓練專班 第01期,新竹縣,2020/03/02,2020/06/13,職前
2020照顧服務員職業訓練班A班 第01期,新竹縣,2020/02/17,2020/03/23,職前
照顧服務員職前訓 第01期,新竹縣,2020/02/03,2020/07/09,職前
服飾製作基礎培訓班(原住民專班訓練-新竹縣) 第01期,新竹縣,2020/01/14,2020/03/11,職前
釀漬米麵食料理班-竹東班(原住民專班訓練-新竹縣) 第01期,新竹縣,2020/01/13,2020/06/01,職前
行政資訊職能培訓班 第01期,新竹縣,2020/01/01,2020/08/31,職前
