課程名稱,上課地點,開放報名,開課日期,性質
光固化3D列印機DIY組裝開發實務班第02期,高雄市前鎮區中山三路132號2樓 (塑膠中心),2022/10/21,2022/11/20,在職
文創商品與布藝風格彩繪班,高雄市新興區七賢一路469號8樓之3,2022/10/21,2022/11/20,在職
性別平等教育教材蒐集及應用班第01期,高雄市苓雅區中山二路412號6樓之3,2022/10/20,2022/11/19,在職
手機動態錄影微短片製作班,高雄市苓雅區中正二路175號13樓之3,2022/10/20,2022/11/19,在職
手工皂與保養品實作進階班,高雄市新興區七賢一路469號8樓之3,2022/10/20,2022/11/19,在職
動力小船輪機維護技能班第01期,高雄市前鎮區漁港南一路35號3F,2022/10/20,2022/12/24,在職
自行車維修進階班第01期,高雄市前金區五福三路21號7樓,2022/10/19,2022/11/18,在職
金屬珠寶飾品加工班第01期,高雄市前鎮區中山三路132號,2022/10/19,2022/11/18,在職
不動產開發與整合技巧實務班第01期,高雄市苓雅區光華一路206號17樓之5,2022/10/18,2022/11/17,在職
桌上遊戲教學技巧實務運用班,高雄市苓雅區中山二路412號10樓之3,2022/10/17,2022/11/18,在職
傳統經絡養生保健班第01期,高雄市前金區中華四路283號5樓,2022/10/17,2022/11/16,在職
會計技能實務班第03期,高雄市湖內區正義一路299巷2弄19號,2022/10/17,2022/11/16,在職
經絡保健養生手技實作班,高雄市苓雅區中正一路249號7樓之1,2022/10/17,2022/11/16,在職
固定式起重機架空式機上操作人員訓練班第04期,高雄市前鎮區瑞隆路472號2樓,2022/10/17,2022/11/16,在職
Python與物聯網MicroPython應用實務班第01期,高雄市三民區中山一路318號,2022/10/17,2022/12/29,在職
越南語發音及生活會話基礎班第01期,高雄市苓雅區中正二路175號13樓之3,2022/10/16,2022/11/15,在職
拼布手作應用班第02期,高雄市鳳山區維新路124號D棟11樓之3,2022/10/16,2022/11/15,在職
職場人際關係與溝通技巧訓練班第01期,高雄市苓雅區成功一路232號16樓,2022/10/16,2022/11/19,在職
SUP立式划槳從業人員訓練班第01期,高雄市鳳山區光華路68號,2022/10/15,2022/11/14,在職
缺氧作業主管教育訓練班第01期,高雄市苓雅區中正一路315號4樓之2,2022/10/15,2022/11/14,在職
職業安全衛生管理員訓練班第02期,高雄市岡山區聖森路168號,2022/10/15,2022/11/14,在職
傳統整復推拿全身調理手法訓練班第01期,高雄市前金區中華四路283號5樓,2022/10/14,2022/11/20,在職
中小企業稅務應用實務班第01期,高雄市湖內區正義一路299巷2弄19號,2022/10/14,2022/11/13,在職
農產加工暨應用班第01期,高雄市三民區皓東路169-6號2F,2022/10/14,2022/11/13,在職
企業勞動法務管理實務與案例解析班第02期,高雄市前金區中華四路283號,2022/10/13,2022/11/12,在職
多益英文聽力及閱讀訓練班第02期,高雄市苓雅區中正二路175號13樓之3,2022/10/13,2022/11/12,在職
化妝品配方設計與調製實作進階班第02期,高雄市鼓山區中華一路203號7樓教育訓練中心B教室,2022/10/13,2022/11/12,在職
FDM型3D列印機DIY組裝開發實務班第02期,高雄市前鎮區中山三路132號2樓 (塑膠中心),2022/10/13,2022/11/12,在職
美姿禮儀造型班第02期,高雄市苓雅區福德三路353巷60號3樓,2022/10/13,2022/12/17,在職
急救人員訓練班第01期,高雄市三民區十全一路100號,2022/10/13,2022/11/12,在職
老屋翻修工程預算實務班第01期,高雄市前金區中華四路283號5樓,2022/10/13,2022/11/12,在職
大數據資料庫與網路爬蟲資料分析整合運用班第01期,高雄市三民區中山一路318號3樓電腦教室,2022/10/13,2022/11/13,在職
裝修工程實務學士學分班第01期,高雄市苓雅區中正二路30號,2022/10/13,2022/11/12,在職
職業安全衛生(2)學士學分班,高雄市大寮區進學路151號,2022/10/13,2022/11/12,在職
嬰幼兒親子互動實務班第01期,高雄市三民區大昌二路67號5樓之1,2022/10/13,2022/11/12,在職
