課程名稱,上課地點,開放報名,開課日期,性質
室內裝修設計實務(產訓班)(花蓮) 第01期,花蓮縣,2019/11/04,2020/01/15,職前
水電(產訓班)(花蓮) 第01期,花蓮縣,2019/11/04,2020/01/13,職前
創意木作設計與製作(假日班)(花蓮)第01期,花蓮縣,2019/10/25,2020/01/18,在職
水電配管空調維護(假日班)(花蓮)第01期,花蓮縣,2019/10/25,2020/01/12,在職
數位視覺設計應用實務班 第01期,花蓮縣,2019/09/07,2019/11/28,職前
飲料冰品及甜品烘培班 第01期,花蓮縣,2019/09/06,2019/10/04,職前
原鄉有機作物栽培實務班 第01期,花蓮縣,2019/08/26,2019/10/21,職前
創意手工藝品製作班 第01期,花蓮縣,2019/08/19,2019/10/18,職前
農耕人力培訓班 第01期,花蓮縣,2019/08/19,2019/10/14,職前
台灣特色茶飲銷售人員培訓班 第01期,花蓮縣,2019/08/15,2019/10/04,職前
營建工程暨鏟裝機操作人員訓練班 第01期,花蓮縣,2019/08/13,2019/10/25,職前
農遊輕旅行人才培訓班 第01期,花蓮縣,2019/08/13,2019/10/31,職前
家具木工班 第01期,花蓮縣,2019/08/13,2019/10/25,職前
新娘造型藝術美甲班 第01期,花蓮縣,2019/08/12,2019/09/30,職前
全方位創意傢俱木工班 第01期,花蓮縣,2019/08/12,2019/09/25,職前
會展行銷及活動策畫人員培訓班 第02期,花蓮縣,2019/08/09,2019/11/11,職前
太魯閣族編織應用製作班 第01期,花蓮縣,2019/08/09,2019/09/18,職前
玩美妝扮人才培訓班 第01期,花蓮縣,2019/08/07,2019/10/21,職前
照顧服務員第9期 第09期,花蓮縣,2019/08/01,2019/09/02,職前
花蓮縣照顧服務員專班 第06期,花蓮縣,2019/08/01,2019/09/10,職前
非素不可烘焙訓練班 第01期,花蓮縣,2019/07/29,2019/09/30,職前
原鄉咖啡調飲班 第01期,花蓮縣,2019/07/23,2019/09/16,職前
月子養生膳食料理人員培訓班 第01期,花蓮縣,2019/07/18,2019/09/16,職前
夢幻甜點烘焙製作班 第01期,花蓮縣,2019/07/18,2019/10/01,職前
花蓮縣照顧服務員專班 第08期,花蓮縣,2019/07/08,2019/09/05,職前
運動教練培訓班(訓用合一)(推動事業單位辦理職前培訓計畫) 第01期,花蓮縣,2019/07/04,2019/07/15,職前
花蓮縣照顧服務員專班 第01期,花蓮縣,2019/07/01,2019/08/12,職前
民宿經營管理-管家實務培訓(花蓮) 第01期,花蓮縣,2019/06/10,2019/09/16,職前
金銀飾品製作(花蓮)第01期,花蓮縣,2019/06/08,2019/09/17,在職
園藝植栽人才培訓班 第01期,花蓮縣,2019/06/03,2019/08/05,職前
花蓮縣照顧服務員專班 第05期,花蓮縣,2019/06/03,2019/07/09,職前
網路工程師(花蓮) 第01期,花蓮縣,2019/06/03,2019/09/11,職前
電腦繪圖美編實務班 第01期,花蓮縣,2019/06/01,2019/09/23,職前
津津記餃原鄉風味班 第01期,花蓮縣,2019/05/31,2019/08/15,職前
創藝皮飾原民風手創班 第01期,花蓮縣,2019/05/31,2019/09/02,職前
室內配線（假日班）(花蓮)第01期,花蓮縣,2019/05/08,2019/08/11,在職
玉石研磨(花蓮) 第01期,花蓮縣,2019/05/06,2019/08/05,職前
水電(產訓班)(花蓮) 第02期,花蓮縣,2019/04/29,2019/07/03,職前
