課程名稱,上課地點,開放報名,開課日期,性質
水電(宜蘭) 第02期,宜蘭縣,2022/05/20,2022/09/01,職前
英文實用會話應用班第01期,宜蘭縣宜蘭市女中路三段62號7樓,2022/05/18,2022/06/17,在職
在地特色結婚伴手禮實作班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/05/17,2022/06/16,在職
新南向的國際企業經營策略碩士學分班第01期,宜蘭縣宜蘭市中山路三段257號5樓,2022/05/17,2022/06/02,在職
不動產營業員實務訓練班第05期,宜蘭縣宜蘭市宜蘭市宜興路三段67號二樓,2022/05/15,2022/06/14,在職
皮革商品創作班第01期,宜蘭縣宜蘭市神農路2段57巷15號,2022/05/13,2022/06/12,在職
造園景觀施作(宜蘭) 第01期,宜蘭縣,2022/05/13,2022/09/16,職前
美感生活初階蠟燭製作班,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/05/12,2022/06/11,在職
傳統攤商轉型經營網路自媒體行銷班,宜蘭縣宜蘭市宜興路３段67號2樓,2022/05/12,2022/06/11,在職
宜蘭縣托育人員 第01期,宜蘭縣,2022/05/10,2022/08/06,職前
巧手甜點烘焙實作班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/05/09,2022/06/08,在職
布可思議生活藝術班第01期,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/05/08,2022/06/07,在職
手調飲品實作班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/05/07,2022/06/06,在職
清潔結合職場花藝設計應用班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/05/07,2022/06/07,在職
農村民宿建築彩繪技能班第01期,宜蘭縣冬山鄉冬山路３段466號,2022/05/06,2022/06/06,在職
造園景觀-住宅開放空間景觀設計施作(假日班)(宜蘭)第02期,宜蘭縣,2022/05/05,2022/09/18,在職
中餐素食料理班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/04/30,2022/05/30,在職
宜蘭縣照顧務員專班員山班 第01期,宜蘭縣,2022/04/18,2022/09/13,職前
奈米手工皂配方設計與皂體製作進階班第01期,宜蘭縣羅東鎮中山路二段506號,2022/04/10,2022/05/10,在職
倉儲物流人員訓練B班,宜蘭縣羅東鎮中山路２段１２３號,2022/04/10,2022/05/10,在職
建築展場臻藏文創藝品與裁縫技術班第01期,宜蘭縣羅東鎮忠義巷80之2號,2022/04/09,2022/05/09,在職
不動產營業員實務訓練班第04期,宜蘭縣宜蘭市宜蘭市宜興路三段67號二樓,2022/04/08,2022/06/12,在職
營建產業木作基礎技能班第01期,宜蘭縣蘇澳鎮光明路8號,2022/04/07,2022/06/11,在職
蘭陽文青風格袋包商品製作班,宜蘭縣冬山鄉冬山路３段466號1樓,2022/04/07,2022/05/07,在職
宜蘭縣照顧服務員專班五結班 第01期,宜蘭縣,2022/04/06,2022/05/04,職前
雲端協同辦公服務應用班第01期,宜蘭縣宜蘭市女中路三段62號7樓,2022/04/05,2022/05/05,在職
非金屬礦石首飾繩結編織班第01期,宜蘭縣宜蘭市環河路111號5樓,2022/04/05,2022/06/23,在職
室內裝修設計(宜蘭) 第02期,宜蘭縣,2022/04/05,2022/08/01,職前
商務報表製作Excel管理實務班第01期,宜蘭縣五結鄉五結路2段370號,2022/04/04,2022/05/04,在職
異國料理班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/04/03,2022/05/03,在職
金屬材料電焊操作訓練班,宜蘭縣羅東鎮中山路２段123號,2022/04/03,2022/05/03,在職
手創編織商品應用班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/03/29,2022/04/28,在職
租賃住宅管理人員訓練班第01期,宜蘭縣宜蘭市宜蘭市宜興路三段67號二樓,2022/03/26,2022/06/20,在職
凝膠美甲素材造型設計進階班,宜蘭縣宜蘭市中山路２段68巷12弄2號,2022/03/25,2022/04/24,在職
烘焙麵包餅乾實作班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/03/23,2022/04/23,在職
蔬果花藝手創技能班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/03/22,2022/04/21,在職
手作綜合結繩編織技巧實用班第01期,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/03/21,2022/06/06,在職
清潔皂品手創技能班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/03/21,2022/04/12,在職
建築景觀綠化與植物造景配置班第01期,宜蘭縣五結鄉五結路二段370號,2022/03/21,2022/04/11,在職
營建展場景觀彩繪設計班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/03/21,2022/04/10,在職
皮革製版成型與裁切技巧實務班第01期,宜蘭縣五結鄉五結路二段370號,2022/03/21,2022/04/09,在職
特色民宿裝置木作彩繪班,宜蘭縣宜蘭市陽明路131巷93號2樓之3,2022/03/21,2022/04/06,在職
手工技藝傳承實務班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/03/21,2022/06/07,在職
不動產營業員實務訓練班第03期,宜蘭縣宜蘭市宜蘭市宜興路三段67號二樓,2022/03/20,2022/05/24,在職
傳統整復推拿實務A班第06期,宜蘭縣羅東鎮民生路6號4樓,2022/03/18,2022/04/17,在職
月子餐調理班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/03/17,2022/04/16,在職
室內配線(宜蘭)第01期,宜蘭縣,2022/03/16,2022/05/30,在職
咖啡手拉藝術進階班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/03/15,2022/04/14,在職
居家布紡裝點創作家飾品巧藝班第01期,宜蘭縣五結鄉五結路2段370號,2022/03/14,2022/04/13,在職
藝術編織班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/03/14,2022/04/13,在職
蔬果清潔皂品手創技能班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/03/13,2022/04/12,在職
西餐輕食料理班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/03/11,2022/04/10,在職
紙工藝術與金屬工藝應用班第01期,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/03/10,2022/04/09,在職
蜘蛛藝術編織班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/03/10,2022/04/09,在職
宜蘭縣照顧服務員專班宜蘭班 第01期,宜蘭縣,2022/03/10,2022/04/12,職前
宜蘭縣照顧服務員專班宜蘭班 第03期,宜蘭縣,2022/03/10,2022/10/11,職前
袋型製版花布創藝與針車技巧應用班第01期,宜蘭縣五結鄉五結路2段370號,2022/03/08,2022/04/07,在職
重機械挖掘機操作訓練班,宜蘭縣羅東鎮中山路2段123號,2022/03/08,2022/04/07,在職
結藝手創技能班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/03/08,2022/04/07,在職
宜蘭縣照顧服務員專班羅東班 第01期,宜蘭縣,2022/03/07,2022/04/08,職前
飲料調製實務班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/03/01,2022/03/31,在職
童玩創藝皮雕烙畫設計實作班第01期,宜蘭縣宜蘭市民權路２段231號1樓,2022/02/25,2022/03/27,在職
製版構圖成型與布藝裁縫技能班第01期,宜蘭縣五結鄉五結路2段370號,2022/02/25,2022/03/27,在職
傳統整復推拿A班第01期,宜蘭縣宜蘭市民權路２段41巷10號,2022/02/24,2022/03/26,在職
親子用品創意設計製作班第01期,宜蘭縣宜蘭市民權路２段231號1樓,2022/02/24,2022/03/26,在職
手作西點烘焙班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/02/23,2022/03/25,在職
宜蘭縣照顧服務員專班宜蘭班(在職假日班) 第02期,宜蘭縣,2022/02/21,2022/04/16,職前
室內水電基礎技術(宜蘭) 第01期,宜蘭縣,2022/02/21,2022/06/01,職前
倉儲物流人員訓練A班,宜蘭縣羅東鎮中山路２段１２３號,2022/02/20,2022/03/22,在職
手工皂暨保養品調製班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/02/18,2022/03/20,在職
建築空間靚裝藝品針車技術應用班第01期,宜蘭縣五結鄉五結路2段370號,2022/02/17,2022/03/19,在職
宜蘭縣照顧服務員專班蘇澳班 第1期,宜蘭縣,2022/02/17,2022/04/20,職前
宜蘭縣照顧服務員專班礁溪班 第01期,宜蘭縣,2022/02/17,2022/03/07,職前
中餐烹調實務班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/02/16,2022/03/18,在職
烘焙點心製作班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/02/11,2022/03/13,在職
不動產營業員實務訓練班第02期,宜蘭縣宜蘭市宜蘭市宜興路三段67號二樓,2022/02/10,2022/03/12,在職
客製化傢飾品設計實務班第01期,宜蘭縣宜蘭市神農路２段57巷15號,2022/02/10,2022/03/12,在職
