課程名稱,上課地點,開放報名,開課日期,性質
電腦數值控制機械(CNC)(基隆) 第02期,基隆市,2021/05/03,2021/09/27,職前
智慧無人機專業飛手養成班(基隆),基隆市七堵區206東新街22號,2021/04/30,2021/07/14,青年
藍染服裝文創商品設計打版班 第01期,基隆市,2021/04/29,2021/06/29,職前
110年基隆市照顧服務員專班 第02期,基隆市,2021/04/15,2021/10/18,職前
珠寶飾品設計與製作(基隆) 第02期,基隆市,2021/04/01,2021/08/26,職前
SolidWorks立體製圖(假日班)(六堵分站)第01期,基隆市,2021/04/01,2021/09/04,在職
電腦輔助機械製圖(六堵分站) 第02期,基隆市,2021/02/22,2021/08/23,職前
氬氣鎢極電銲(基隆) 第01期,基隆市,2021/02/01,2021/08/02,職前
珠寶金工基礎(假日班)(基隆)第01期,基隆市,2021/02/01,2021/05/09,在職
基隆市照顧服務員專班 第3期,基隆市,2021/02/01,2021/10/13,職前
AutoCAD電腦輔助機械製圖(假日班)(六堵分站)第01期,基隆市,2021/01/04,2021/04/10,在職
氬氣鎢極電銲(假日班)(基隆)第01期,基隆市,2020/12/10,2021/04/11,在職
冷凍空調裝修(基隆) 第01期,基隆市,2020/11/09,2021/03/29,職前
銲接(基隆) 第01期,基隆市,2020/11/04,2021/03/02,職前
珠寶飾品設計與製作(基隆) 第01期,基隆市,2020/11/03,2021/02/22,職前
電腦輔助機械製圖(六堵分站) 第01期,基隆市,2020/11/03,2021/01/11,職前
半自動電銲(基隆)第01期,基隆市,2020/11/02,2021/02/22,在職
文創禮品設計班(訓用合一) 第01期,基隆市,2020/09/24,2020/10/12,職前
珠寶蠟雕(基隆) 第01期,基隆市,2020/09/22,2020/12/28,職前
古早傳統小吃專技班 第01期,基隆市,2020/09/16,2020/11/05,職前
基隆市照顧服務人員專班 第05期,基隆市,2020/09/11,2020/10/12,職前
冷凍空調(基隆) 第01期,基隆市,2020/09/04,2020/12/01,職前
舊衣新創及袋包商品製作班 第01期,基隆市,2020/09/03,2020/12/14,職前
魅力小吃職場創業班 第02期,基隆市,2020/09/01,2020/11/23,職前
複合式烘焙輕食專技班 第01期,基隆市,2020/08/06,2020/09/15,職前
清潔服務技術培訓班 第01期,基隆市,2020/07/14,2020/09/07,職前
商業平面插畫設計養成班 第01期,基隆市,2020/07/10,2020/09/01,職前
AutoCAD電腦輔助機械製圖(假日班)(六堵分站)第01期,基隆市,2020/07/10,2020/10/17,在職
基隆市照顧服務人員專班第3期 第03期,基隆市,2020/07/03,2020/08/04,職前
基隆市109年照顧服務員專班第四期 第4期,基隆市,2020/07/01,2020/09/14,職前
傳統藝術創新經濟商品製作班 第01期,基隆市,2020/06/24,2020/10/05,職前
珠寶飾品設計與製作(基隆) 第03期,基隆市,2020/06/24,2020/10/05,職前
一般手工電銲(基隆)第01期,基隆市,2020/06/22,2020/10/12,在職
庶民美味小吃創業班 第01期,基隆市,2020/06/17,2020/08/14,職前
珠寶電繪(假日班)(基隆)第01期,基隆市,2020/06/08,2020/09/13,在職
經典烘培飲調點心就業班 第01期,基隆市,2020/06/04,2020/07/15,職前
冷凍空調裝修(基隆) 第02期,基隆市,2020/06/01,2020/09/14,職前
冷凍空調裝修(基隆)第01期,基隆市,2020/05/25,2020/09/03,在職
電腦輔助機械製圖(政策性課程)(基隆) 第01期,基隆市,2020/05/11,2020/09/29,職前
銲接(政策性課程)(基隆) 第02期,基隆市,2020/05/04,2020/09/07,職前
SolidWorks立體製圖(假日班)(六堵分站)第01期,基隆市,2020/04/01,2020/07/04,在職
珠寶飾品設計與製作(基隆) 第02期,基隆市,2020/04/01,2020/07/13,職前
電腦輔助機械製圖(政策性課程)(六堵分站) 第02期,基隆市,2020/04/01,2020/07/13,職前
基隆市托育人員 第01期,基隆市,2020/02/27,2020/04/06,職前
基隆市照顧服務人員專班第1期 第01期,基隆市,2020/02/18,2020/03/05,職前
文創商品設計班(訓用合一) 第01期,基隆市,2020/01/21,2020/04/27,職前
異材質多元商品設計班 (訓用合一) 第01期,基隆市,2020/01/21,2020/02/24,職前
健康銀髮族飲食創業班 第01期,基隆市,2020/01/14,2020/04/29,職前
舊衣新創暨織品改造班 第01期,基隆市,2020/01/09,2020/05/04,職前
到府母嬰照護職能養成班 第01期,基隆市,2020/01/06,2020/07/13,職前
精品咖啡品評與創業規畫設計班 第01期,基隆市,2020/01/06,2020/04/20,職前
珠寶琺瑯(假日班)(基隆)第01期,基隆市,2020/01/02,2020/04/12,在職
基隆市照顧服務員專班 第02期,基隆市,2020/01/01,2020/05/20,職前
靓髮設計技藝養成班 第01期,基隆市,2019/12/27,2020/05/04,職前
冷凍空調裝修(基隆) 第01期,基隆市,2019/12/02,2020/03/16,職前
半自動電銲(假日班)(基隆)第01期,基隆市,2019/12/02,2020/03/22,在職
銲接(政策性課程)(基隆) 第01期,基隆市,2019/11/05,2020/03/03,職前
珠寶飾品設計與製作(基隆) 第01期,基隆市,2019/11/05,2020/02/20,職前
電腦輔助機械製圖(政策性課程)(六堵分站) 第01期,基隆市,2019/11/04,2020/01/13,職前
氬氣鎢極電銲(基隆)第01期,基隆市,2019/10/25,2020/02/17,在職
異材質多元商品設計班 (訓用合一)(推動事業單位辦理職前培訓計畫) 第03期,基隆市,2019/10/04,2019/10/14,職前
咖啡人員門市規劃訓練班 第01期,基隆市,2019/08/30,2019/09/09,職前
全方位剪燙護造型設計班 第01期,基隆市,2019/08/15,2019/11/18,職前
月子媽媽料理培訓班 第02期,基隆市,2019/08/07,2019/11/15,職前
食尚早午茶料理製作班 第02期,基隆市,2019/07/31,2019/11/25,職前
基隆市照顧服務員專班 第05期,基隆市,2019/07/11,2019/09/02,職前
AutoCAD電腦輔助機械製圖(六堵)第01期,基隆市,2019/07/02,2019/09/28,在職
珠寶飾品設計與製作(基隆) 第03期,基隆市,2019/07/01,2019/10/01,職前
產後照顧人員培訓班 第01期,基隆市,2019/06/19,2019/08/20,職前
氬氣鎢極電銲班(基隆) 第01期,基隆市,2019/06/17,2019/10/21,職前
電腦輔助機械製圖(基隆) 第01期,基隆市,2019/06/09,2019/10/14,職前
珠寶電繪(假日班)(基隆)第01期,基隆市,2019/06/06,2019/09/01,在職
袋包及文創商品製作訓練班(訓用合一)(推動事業單位辦理職前培訓計畫) 第01期,基隆市,2019/06/03,2019/06/17,職前
冷凍空調裝修(基隆) 第02期,基隆市,2019/06/03,2019/09/17,職前
氬氣鎢極電銲(假日班)(基隆)第01期,基隆市,2019/06/01,2019/10/19,在職
冷凍空調裝修(基隆)第01期,基隆市,2019/05/24,2019/09/03,在職
中西式點心網路創業行銷班 第01期,基隆市,2019/05/23,2019/07/08,職前
多元簡餐料理製作班 第01期,基隆市,2019/05/13,2019/07/01,職前
基隆市照顧服務員專班第3班 第03期,基隆市,2019/05/03,2019/07/15,職前
銲接(基隆) 第02期,基隆市,2019/05/01,2019/09/02,職前
商業平面網頁設計班 第01期,基隆市,2019/04/30,2019/09/02,職前
室內設計班 第01期,基隆市,2019/04/30,2019/07/29,職前
複合式烘焙飲調製作班 第01期,基隆市,2019/04/16,2019/05/17,職前
SolidWorks立體製圖(假日班)(六堵)第01期,基隆市,2019/04/10,2019/07/06,在職
珠寶飾品設計與製作(基隆) 第02期,基隆市,2019/04/01,2019/07/01,職前
電腦輔助機械製圖(六堵) 第02期,基隆市,2019/04/01,2019/07/15,職前
